  KXNCAAFTEAMRECTD | College Football Team Receiving Touchdowns | custom
  KXNCAAFTEAMRECYDS | College Football Team Receiving Yards | custom
  KXNCAAFTEAMRSHATT | College Football Team Total Rushing Attempts | custom
  KXNCAAFTEAMRSHTD | College Football Team Rushing Touchdowns | custom
  KXNCAAFTEAMRSHYDS | College Football Team Rushing Yards | custom
  KXNCAAFTEAMSACK | College Football Team Total Sacks | custom
  KXNCAAFTEAMTD | College Football Team Total Touchdowns | custom
  KXNCAAFTEAMTO | College Football Team Total Forced Turnovers | custom
  KXNCAAFTEAMTOTAL | College Football Team Total Points | custom
  KXNCAAFTEAMYDS | College Football Team Total Yards | custom
  KXNCAAFTFUT | Team to Make the College Football Playoffs before 2030 | custom
  KXNCAAFTOPAPRANK | College Football AP Poll Top Rank | custom
  KXNCAAFTOPCFPPOLL | College Football CFP Poll | custom
  KXNCAAFTOPSEED | College Football Playoff Top Seed | custom
  KXNCAAFTOTAL | College Football Total Points | custom
  KXNCAAFTOTALFG | College Football Total Field Goals | custom
  KXNCAAFTOTALTD | College Football Total Touchdowns | custom
  KXNCAAFUNDEFEATED | Undefeated in College Football Regular Season | annual
  KXNCAAFUNDEFEATEDHOME | College Football Teams to go Undefeated at Home | custom
  KXNCAAFWINS | College Football Win Total | annual
  KXNCAAMBBIG10 | Big Ten Conference Tournament | custom
  KXNCAAMBBIG10REG | Men's College Basketball Big Ten Regular Season Champion | custom
  KXNCAAMBBIG10REGTOP | Men's College Basketball Big Ten Regular Season Top Finishers | custom
  KXNCAAMBBIGTENREG | Men's College Basketball Big Ten Regular Season Champion | custom
  KXNCAAMBBIGTENREGTOP | Men's College Basketball Big Ten Regular Season Top Finishers | custom
  KXNCAAMBIGTEN | big ten MEN'S BASKETBALL TOURNAMENT | custom
  KXNCAAPLAYOFF | College Football Playoff Qualifiers | annual
